well	par	per	pol	flo
J18	16	7	377	23
K18	17	7	442	24
L18	15	5	480	20
M18	15	7	349	22
N18	15	7	349	22
O18	15	10	206	25
P18	14	7	318	21
A19	17	5	574	22
B19	15	9	274	24
C19	14	10	173	24
D19	13	7	285	20
E19	14	8	279	22
F19	14	7	361	21
G19	14	9	241	23
H19	14	8	279	22
I19	14	9	241	23
J19	16	8	339	24
K19	12	7	248	19
L19	14	5	505	19
M19	15	9	274	24
N19	17	7	403	24
O19	14	12	83	26
P19	15	7	349	22
A20	15	7	349	22
B20	15	9	274	24
C20	14	11	112	25
D20	15	9	274	24
E20	14	7	318	21
F20	14	9	241	23
G20	15	4	583	19
H20	15	14	18	29
I20	13	7	328	20
J20	15	10	206	25
K20	14	6	405	20
L20	15	5	530	20
M20	14	9	241	23
N20	15	6	434	21
O20	15	8	310	23
P20	15	5	530	20
A21	13	11	105	24
B21	14	9	241	23
C21	14	8	279	22
D21	14	6	405	20
E21	17	5	574	22
F21	14	10	173	24
G21	15	7	349	22
H21	15	9	274	24
I21	13	9	171	22
J21	14	7	361	21
K21	14	8	279	22
L21	15	4	583	19
M21	14	9	241	23
N21	15	11	146	26
O21	14	10	173	24
P21	14	5	453	19
A22	14	6	405	20
B22	14	7	318	21
C22	14	8	279	22
D22	15	7	349	22
E22	15	9	239	24
F22	13	5	477	18
G22	15	10	206	25
H22	14	7	361	21
I22	13	11	105	24
J22	16	8	339	24
K22	12	9	131	21
L22	13	6	374	19
M22	15	9	239	24
N22	16	6	460	22
O22	14	7	318	21
P22	13	8	244	21
A23	16	11	206	27
B23	13	5	424	18
C23	15	9	274	24
D23	15	6	434	21
E23	13	10	137	23
F23	13	7	285	20
G23	14	10	173	24
H23	14	8	279	22
I23	14	7	361	21
J23	14	7	318	21
K23	14	3	684	17
L23	15	8	310	23
M23	14	10	173	24
N23	14	7	361	21
O23	14	9	206	23
P23	15	5	530	20
A24	15	5	530	20
B24	15	3	640	18
C24	14	7	318	21
D24	16	5	505	21
E24	14	9	206	23
F24	14	10	173	24
G24	13	5	477	18
H24	15	9	274	24
I24	15	11	146	26
J24	16	2	780	18
K24	14	5	505	19
L24	16	9	269	25
M24	14	8	279	22
N24	15	7	349	22
O24	15	7	349	22
P24	14	11	142	25
