Well ID,Well,Parallel Intensity,Perpendicular Intensity,Polarization
SPL222,N14,14,7,361
SPL223,O14,14,9,241
SPL224,P14,13,8,244
SPL225,A15,16,9,269
SPL226,B15,14,7,318
SPL227,C15,15,7,390
SPL228,D15,15,11,175
SPL229,E15,14,11,142
SPL230,F15,16,9,269
SPL231,G15,14,7,361
SPL232,H15,16,11,177
SPL233,I15,15,8,310
SPL234,J15,15,11,146
SPL235,K15,12,9,131
SPL236,L15,16,7,417
SPL237,M15,14,10,173
SPL238,N15,15,8,310
SPL239,O15,14,9,206
SPL240,P15,15,10,206
SPL241,A16,15,7,390
SPL242,B16,15,6,434
SPL243,C16,13,5,424
SPL244,D16,14,6,405
SPL245,E16,13,6,374
SPL246,F16,15,10,206
SPL247,G16,15,9,274
SPL248,H16,14,11,142
SPL249,I16,15,5,530
SPL250,J16,14,7,361
SPL251,K16,15,8,310
SPL252,L16,15,9,239
SPL253,M16,15,7,349
SPL254,N16,16,5,553
SPL255,O16,14,7,318
SPL256,P16,15,5,480
SPL257,A17,15,8,310
SPL258,B17,14,8,279
SPL259,C17,16,9,303
SPL260,D17,14,7,318
SPL261,E17,14,10,173
SPL262,F17,14,9,206
SPL263,G17,16,11,206
SPL264,H17,14,8,279
SPL265,I17,13,8,244
SPL266,J17,14,8,279
SPL267,K17,14,7,318
SPL268,L17,14,7,361
SPL269,M17,13,8,244
SPL270,N17,16,6,460
SPL271,O17,14,11,112
SPL272,P17,14,6,405
SPL273,A18,14,7,318
SPL274,B18,15,4,583
SPL275,C18,15,5,530
SPL276,D18,15,9,239
SPL277,E18,16,9,269
SPL278,F18,13,7,328
SPL279,G18,14,11,142
SPL280,H18,13,4,534
SPL281,I18,15,5,480
SPL282,J18,16,7,377
SPL283,K18,17,7,442
SPL284,L18,15,5,480
SPL285,M18,15,7,349
SPL286,N18,15,7,349
SPL287,O18,15,10,206
SPL288,P18,14,7,318
SPL289,A19,17,5,574
SPL290,B19,15,9,274
SPL291,C19,14,10,173
SPL292,D19,13,7,285
SPL293,E19,14,8,279
SPL294,F19,14,7,361
SPL295,G19,14,9,241
SPL296,H19,14,8,279
SPL297,I19,14,9,241
SPL298,J19,16,8,339
SPL299,K19,12,7,248
SPL300,L19,14,5,505
SPL301,M19,15,9,274
SPL302,N19,17,7,403
SPL303,O19,14,12,83
SPL304,P19,15,7,349
SPL305,A20,15,7,349
SPL306,B20,15,9,274
SPL307,C20,14,11,112
