Well,Run,Voltage,Current
A1,1.0,0.254652,3.863982e-06
A1,2.0,0.399706,3.170985e-06
A1,3.0,0.399706,3.1814849999999997e-06
A1,4.0,0.40454199999999996,3.172736e-06
A1,5.0,0.40454199999999996,3.160485e-06
A1,6.0,0.40454199999999996,3.1552349999999998e-06
A1,7.0,0.40454199999999996,3.146485e-06
A1,8.0,0.40454199999999996,3.144735e-06
A1,9.0,0.40454199999999996,3.1359859999999997e-06
A1,10.0,0.409377,3.128985e-06
A1,11.0,0.40454199999999996,2.999486e-06
A1,12.0,0.409377,2.995986e-06
A1,13.0,0.409377,2.988986e-06
A1,14.0,0.409377,2.980236e-06
A1,15.0,0.409377,2.976736e-06
A1,16.0,0.409377,2.974986e-06
A1,17.0,0.409377,2.969736e-06
A1,18.0,0.409377,2.966236e-06
A1,19.0,0.41421199999999997,2.9644859999999998e-06
A1,20.0,0.41421199999999997,2.959237e-06
A10,1.0,0.40454199999999996,3.303985e-06
A10,2.0,0.40454199999999996,3.335485e-06
A10,3.0,0.40454199999999996,3.330235e-06
A10,4.0,0.40454199999999996,3.3127339999999997e-06
A10,5.0,0.40454199999999996,3.2987349999999998e-06
A10,6.0,0.40454199999999996,3.289985e-06
A10,7.0,0.409377,3.279485e-06
A10,8.0,0.409377,3.274235e-06
A10,9.0,0.409377,3.2672349999999997e-06
A10,10.0,0.409377,3.260235e-06
A10,11.0,0.409377,3.113236e-06
A10,12.0,0.41421199999999997,3.107985e-06
A10,13.0,0.41421199999999997,3.099236e-06
A10,14.0,0.41421199999999997,3.095736e-06
A10,15.0,0.41421199999999997,3.090486e-06
A10,16.0,0.41421199999999997,3.088736e-06
A10,17.0,0.41421199999999997,3.083485e-06
A10,18.0,0.41421199999999997,3.081736e-06
A10,19.0,0.41421199999999997,3.074736e-06
A10,20.0,0.41421199999999997,3.067736e-06
A11,1.0,0.438388,7.30184e-07
A11,2.0,0.254652,6.15997e-07
A11,3.0,0.254652,6.15997e-07
A11,4.0,0.254652,6.15997e-07
A11,5.0,0.254652,6.15997e-07
A11,6.0,0.254652,5.59997e-07
A11,7.0,0.254652,5.59997e-07
A11,8.0,0.254652,5.59997e-07
A11,9.0,0.254652,6.15997e-07
A11,10.0,0.254652,6.15997e-07
A11,11.0,0.254652,5.59997e-07
A11,12.0,0.254652,5.59997e-07
A11,13.0,0.254652,5.59997e-07
A11,14.0,0.254652,5.59997e-07
A11,15.0,0.254652,6.15997e-07
A11,16.0,0.25948699999999997,5.59997e-07
A11,17.0,0.25948699999999997,5.59997e-07
A11,18.0,0.25948699999999997,5.59997e-07
A11,19.0,0.25948699999999997,5.59997e-07
A11,20.0,0.254652,5.59997e-07
A12,1.0,0.254652,3.471984e-06
A12,2.0,0.254652,6.71997e-07
A12,3.0,0.254652,5.59997e-07
A12,4.0,0.254652,5.59997e-07
A12,5.0,0.254652,5.59997e-07
A12,6.0,0.254652,5.03997e-07
A12,7.0,0.25948699999999997,5.03997e-07
A12,8.0,0.254652,5.59997e-07
A12,9.0,0.25948699999999997,5.03997e-07
A12,10.0,0.254652,5.03997e-07
A12,11.0,0.254652,5.03997e-07
A12,12.0,0.254652,5.03997e-07
A12,13.0,0.254652,5.03997e-07
A12,14.0,0.254652,5.03997e-07
A12,15.0,0.254652,5.03997e-07
A12,16.0,0.254652,5.59997e-07
A12,17.0,0.254652,5.59997e-07
A12,18.0,0.254652,5.03997e-07
A12,19.0,0.254652,5.03997e-07
A12,20.0,0.254652,5.03997e-07
A2,1.0,0.254652,3.863982e-06
A2,2.0,0.399706,3.337234e-06
A2,3.0,0.399706,3.361735e-06
A2,4.0,0.40454199999999996,3.358234e-06
A2,5.0,0.40454199999999996,3.347735e-06
A2,6.0,0.40454199999999996,3.342485e-06
A2,7.0,0.40454199999999996,3.330235e-06
A2,8.0,0.40454199999999996,3.323235e-06
A2,9.0,0.40454199999999996,3.316235e-06
A2,10.0,0.409377,3.309235e-06
A2,11.0,0.409377,3.169235e-06
A2,12.0,0.409377,3.156985e-06
A2,13.0,0.409377,3.1517349999999997e-06
A2,14.0,0.409377,3.142986e-06
A2,15.0,0.409377,3.141236e-06
A2,16.0,0.409377,3.1359859999999997e-06
A2,17.0,0.41421199999999997,3.132485e-06
A2,18.0,0.409377,3.1254849999999998e-06
A2,19.0,0.409377,3.120235e-06
A2,20.0,0.41421199999999997,3.118486e-06
A3,1.0,0.254652,4.031981e-06
A3,2.0,0.39487099999999997,3.3844849999999997e-06
A3,3.0,0.39487099999999997,3.443984e-06
A3,4.0,0.39487099999999997,3.438734e-06
A3,5.0,0.39487099999999997,3.422984e-06
A3,6.0,0.39487099999999997,3.412484e-06
A3,7.0,0.399706,3.4002339999999997e-06
A3,8.0,0.399706,3.391484e-06
A3,9.0,0.399706,3.380984e-06
A3,10.0,0.399706,3.368734e-06
A3,11.0,0.40454199999999996,3.223485e-06
A3,12.0,0.40454199999999996,3.2112349999999998e-06
A3,13.0,0.40454199999999996,3.204235e-06
A3,14.0,0.40454199999999996,3.197235e-06
A3,15.0,0.40454199999999996,3.190235e-06
A3,16.0,0.40454199999999996,3.1832349999999998e-06
A3,17.0,0.40454199999999996,3.176236e-06
A3,18.0,0.409377,3.170986e-06
A3,19.0,0.409377,3.163985e-06
A3,20.0,0.40454199999999996,3.158735e-06
A4,1.0,0.254652,3.695983e-06
A4,2.0,0.390036,3.419484e-06
A4,3.0,0.390036,3.449234e-06
A4,4.0,0.39487099999999997,3.438734e-06
A4,5.0,0.39487099999999997,3.426484e-06
A4,6.0,0.39487099999999997,3.412484e-06
A4,7.0,0.399706,3.401985e-06
A4,8.0,0.399706,3.396735e-06
A4,9.0,0.399706,3.386234e-06
