Well,Run,Voltage,Current
A1,1.0,0.390036,3.107985e-06
A1,2.0,0.39487099999999997,3.043236e-06
A1,3.0,0.39487099999999997,3.023986e-06
A1,4.0,0.399706,3.011736e-06
A1,5.0,0.399706,3.008236e-06
A1,6.0,0.399706,2.999486e-06
A1,7.0,0.40454199999999996,2.999486e-06
A1,8.0,0.40454199999999996,2.9942359999999998e-06
A1,9.0,0.40454199999999996,2.9907359999999997e-06
A1,10.0,0.40454199999999996,2.987236e-06
A1,11.0,0.409377,1.698367e-06
A1,12.0,0.409377,1.6861169999999999e-06
A1,13.0,0.409377,1.679117e-06
A1,14.0,0.409377,1.676492e-06
A1,15.0,0.41421199999999997,1.674742e-06
A1,16.0,0.41421199999999997,1.675617e-06
A1,17.0,0.41421199999999997,1.6712419999999999e-06
A1,18.0,0.41421199999999997,1.6712419999999999e-06
A1,19.0,0.41421199999999997,1.669492e-06
A1,20.0,0.41421199999999997,1.667742e-06
A1,21.0,0.419047,1.025057e-06
A1,22.0,0.419047,1.01237e-06
A1,23.0,0.419047,1.009308e-06
A1,24.0,0.419047,1.007558e-06
A1,25.0,0.419047,1.006245e-06
A1,26.0,0.419047,1.005808e-06
A1,27.0,0.419047,1.00712e-06
A1,28.0,0.423882,1.00362e-06
A1,29.0,0.419047,1.002745e-06
A1,30.0,0.419047,1.0009949999999999e-06
A1,31.0,0.423882,6.83371e-07
A1,32.0,0.423882,6.67403e-07
A1,33.0,0.423882,6.67184e-07
A1,34.0,0.423882,6.65215e-07
A1,35.0,0.42871699999999996,6.63247e-07
A1,36.0,0.42871699999999996,6.63575e-07
A1,37.0,0.423882,6.63684e-07
A1,38.0,0.42871699999999996,6.64122e-07
A1,39.0,0.42871699999999996,6.63684e-07
A1,40.0,0.423882,6.627e-07
A1,41.0,0.254652,3.35998e-07
A10,1.0,0.38520099999999996,3.286485e-06
A10,2.0,0.390036,3.232235e-06
A10,3.0,0.390036,3.207735e-06
A10,4.0,0.390036,3.188485e-06
A10,5.0,0.39487099999999997,3.174486e-06
A10,6.0,0.39487099999999997,3.1657359999999998e-06
A10,7.0,0.39487099999999997,3.156986e-06
A10,8.0,0.399706,3.149986e-06
A10,9.0,0.399706,3.144735e-06
A10,10.0,0.399706,3.139486e-06
A10,11.0,0.40454199999999996,1.739492e-06
A10,12.0,0.40454199999999996,1.723742e-06
A10,13.0,0.40454199999999996,1.718492e-06
A10,14.0,0.409377,1.7141169999999999e-06
A10,15.0,0.409377,1.713242e-06
A10,16.0,0.409377,1.707992e-06
A10,17.0,0.409377,1.707992e-06
A10,18.0,0.409377,1.704492e-06
A10,19.0,0.409377,1.7009919999999999e-06
A10,20.0,0.409377,1.7009919999999999e-06
A10,21.0,0.41421199999999997,1.025495e-06
A10,22.0,0.419047,1.0154319999999999e-06
A10,23.0,0.419047,1.010183e-06
A10,24.0,0.41421199999999997,1.01062e-06
A10,25.0,0.419047,1.006245e-06
A10,26.0,0.41421199999999997,1.004058e-06
A10,27.0,0.419047,1.004495e-06
A10,28.0,0.423882,1.003183e-06
A10,29.0,0.419047,1.001433e-06
A10,30.0,0.419047,9.996829999999999e-07
A10,31.0,0.423882,6.765899999999999e-07
A10,32.0,0.423882,6.62372e-07
A10,33.0,0.42871699999999996,6.59965e-07
A10,34.0,0.423882,6.62809e-07
A10,35.0,0.423882,6.617149999999999e-07
A10,36.0,0.42871699999999996,6.60512e-07
A10,37.0,0.423882,6.60075e-07
A10,38.0,0.42871699999999996,6.60293e-07
A10,39.0,0.423882,6.59418e-07
A10,40.0,0.42871699999999996,6.58762e-07
A10,41.0,0.341684,2.92248e-07
A11,1.0,0.380366,3.331985e-06
A11,2.0,0.38520099999999996,3.3267349999999998e-06
A11,3.0,0.390036,3.305735e-06
A11,4.0,0.39487099999999997,3.293485e-06
A11,5.0,0.39487099999999997,3.279485e-06
A11,6.0,0.399706,3.2689849999999998e-06
A11,7.0,0.399706,3.265485e-06
A11,8.0,0.40454199999999996,3.260235e-06
A11,9.0,0.40454199999999996,3.253235e-06
A11,10.0,0.40454199999999996,3.249735e-06
A11,11.0,0.40454199999999996,1.814741e-06
A11,12.0,0.409377,1.798991e-06
A11,13.0,0.409377,1.795492e-06
A11,14.0,0.409377,1.7893659999999999e-06
A11,15.0,0.409377,1.784991e-06
A11,16.0,0.41421199999999997,1.782367e-06
A11,17.0,0.409377,1.776242e-06
A11,18.0,0.409377,1.776242e-06
A11,19.0,0.41421199999999997,1.7736169999999999e-06
A11,20.0,0.419047,1.770992e-06
A11,21.0,0.419047,1.08587e-06
A11,22.0,0.419047,1.0731819999999999e-06
A11,23.0,0.419047,1.069682e-06
A11,24.0,0.423882,1.066182e-06
A11,25.0,0.419047,1.065745e-06
A11,26.0,0.419047,1.06312e-06
A11,27.0,0.419047,1.060057e-06
A11,28.0,0.419047,1.060057e-06
A11,29.0,0.419047,1.058307e-06
A11,30.0,0.423882,1.0578699999999999e-06
A11,31.0,0.423882,7.33793e-07
A11,32.0,0.423882,7.20887e-07
A11,33.0,0.42871699999999996,7.17387e-07
A11,34.0,0.42871699999999996,7.16512e-07
A11,35.0,0.42871699999999996,7.162929999999999e-07
A11,36.0,0.43355299999999997,7.13887e-07
A11,37.0,0.42871699999999996,7.12903e-07
A11,38.0,0.42871699999999996,7.131209999999999e-07
A11,39.0,0.42871699999999996,7.131209999999999e-07
A11,40.0,0.43355299999999997,7.12246e-07
A11,41.0,0.317509,3.32498e-07
A12,1.0,0.254652,3.751983e-06
A12,2.0,0.370695,3.6469829999999997e-06
A12,3.0,0.370695,3.653983e-06
A12,4.0,0.375531,3.639983e-06
A12,5.0,0.380366,3.625983e-06
A12,6.0,0.380366,3.618984e-06
A12,7.0,0.380366,3.597984e-06
